"Jz","Jxy","promedio temporal de 0 a 100 de la pureza promedio del caometro"
0,0,0.895558
0,0.1724137931034483,0.691509
0,0.3448275862068966,0.615754
0,0.5172413793103449,0.5706
0,0.6896551724137931,0.560519
0,0.8620689655172414,0.56783
0,1.0344827586206897,0.594701
0,1.206896551724138,0.568265
0,1.3793103448275863,0.552864
0,1.5517241379310345,0.558531
0,1.7241379310344829,0.557123
0,1.896551724137931,0.55304
0,2.0689655172413794,0.551181
0,2.2413793103448274,0.556262
0,2.413793103448276,0.558589
0,2.586206896551724,0.556011
0,2.7586206896551726,0.554311
0,2.9310344827586206,0.552678
0,3.103448275862069,0.550481
0,3.275862068965517,0.556841
0,3.4482758620689657,0.557126
0,3.6206896551724137,0.550016
0,3.793103448275862,0.548028
0,3.9655172413793105,0.554954
0,4.137931034482759,0.549615
0,4.310344827586206,0.563056
0,4.482758620689655,0.563855
0,4.655172413793103,0.570608
0,4.827586206896552,0.552138
0,5,0.549658
0.1724137931034483,0,0.895838
0.1724137931034483,0.1724137931034483,0.735773
0.1724137931034483,0.3448275862068966,0.630132
0.1724137931034483,0.5172413793103449,0.588055
0.1724137931034483,0.6896551724137931,0.561437
0.1724137931034483,0.8620689655172414,0.551039
0.1724137931034483,1.0344827586206897,0.578018
0.1724137931034483,1.206896551724138,0.565448
0.1724137931034483,1.3793103448275863,0.560248
0.1724137931034483,1.5517241379310345,0.553895
0.1724137931034483,1.7241379310344829,0.564684
0.1724137931034483,1.896551724137931,0.555273
0.1724137931034483,2.0689655172413794,0.545887
0.1724137931034483,2.2413793103448274,0.555151
0.1724137931034483,2.413793103448276,0.559446
0.1724137931034483,2.586206896551724,0.551054
0.1724137931034483,2.7586206896551726,0.552666
0.1724137931034483,2.9310344827586206,0.554248
0.1724137931034483,3.103448275862069,0.558776
0.1724137931034483,3.275862068965517,0.547776
0.1724137931034483,3.4482758620689657,0.551738
0.1724137931034483,3.6206896551724137,0.555405
0.1724137931034483,3.793103448275862,0.554994
0.1724137931034483,3.9655172413793105,0.561101
0.1724137931034483,4.137931034482759,0.550129
0.1724137931034483,4.310344827586206,0.550874
0.1724137931034483,4.482758620689655,0.554358
0.1724137931034483,4.655172413793103,0.554411
0.1724137931034483,4.827586206896552,0.550461
0.1724137931034483,5,0.557003
0.3448275862068966,0,0.882659
0.3448275862068966,0.1724137931034483,0.753733
0.3448275862068966,0.3448275862068966,0.629799
