"L=11;{hx,hz,J}={1.,0.5,ConstantArray[1.,L-1]};SeedRandom[32371];ψ0E=Table[RandomChainProductState[L-1],3];Superoperator[t,ψ0E[[3]],eigenvalsH,eigenvecsH,L];"
"{0.9999000086255688 + 0.*I, 0.00008406642389708558 + 0.009998273433955172*I, 0.00008406642389708558 - 0.009998273433955172*I, 0.00009999137446478675 + 0.*I}","{0.00008347145634645214 + 0.009998276408904896*I, 0.9995824923400953 - 0.016751553268417426*I, 0.0000999913742102774 + 5.969432063153045*^-9*I, -0.00008346759442208273 - 0.009998276428237116*I}","{0.00008347145634645214 - 0.009998276408904896*I, 0.0000999913742102774 - 5.969432063153045*^-9*I, 0.9995824923400953 + 0.016751553268417426*I, -0.00008346759442208273 + 0.009998276428237116*I}","{0.00009999137440017255 + 0.*I, -0.0000840664238941513 - 0.00999827343395291*I, -0.0000840664238941513 + 0.00999827343395291*I, 0.999900008625539 + 0.*I}"
"{0.9998554740313674 + 0.*I, 0.00012133176536076635 + 0.012019645582014502*I, 0.00012133176536076635 - 0.012019645582014502*I, 0.00014452596879602745 + 0.*I}","{0.00012029746537582699 + 0.012019651799868171*I, 0.9993970739450765 - 0.020093965383881883*I, 0.0001445259680277381 + 1.248472087235371*^-8*I, -0.00012028942233289503 - 0.012019651848280946*I}","{0.00012029746537582699 - 0.012019651799868171*I, 0.0001445259680277381 - 1.248472087235371*^-8*I, 0.9993970739450765 + 0.020093965383881883*I, -0.00012028942233289503 + 0.012019651848280946*I}","{0.00014452596860147502 + 0.*I, -0.00012133176535781905 - 0.012019645582012276*I, -0.00012133176535781905 + 0.012019645582012276*I, 0.9998554740312077 + 0.*I}"
"{0.9997911079791579 + 0.*I, 0.00017506025526452425 + 0.014449189969890783*I, 0.00017506025526452425 - 0.014449189969890783*I, 0.00020889202139683083 + 0.*I}","{0.00017326212574196622 + 0.014449202966372554*I, 0.9991294854062834 - 0.02409129121607992*I, 0.0002088920190777027 + 2.6115939631139463*^-8*I, -0.00017324538647341624 - 0.014449203087538416*I}","{0.00017326212574196622 - 0.014449202966372554*I, 0.0002088920190777027 - 2.6115939631139463*^-8*I, 0.9991294854062834 + 0.02409129121607992*I, -0.00017324538647341624 + 0.014449203087538416*I}","{0.00020889202081119423 + 0.*I, -0.0001750602552615971 - 0.01444918996988861*I, -0.0001750602552615971 + 0.01444918996988861*I, 0.9997911079786073 + 0.*I}"
"{0.9996980832864132 + 0.*I, 0.0002524818121822503 + 0.017368965728644135*I, 0.0002524818121822503 - 0.017368965728644135*I, 0.00030191671531753085 + 0.*I}","{0.0002493556134623977 + 0.017368992895352334*I, 0.9987434499181478 - 0.028866056473115596*I, 0.0003019167083177422 + 5.46418963157418*^-8*I, -0.00024932080525005883 - 0.017368993198368307*I}","{0.0002493556134623977 - 0.017368992895352334*I, 0.0003019167083177422 - 5.46418963157418*^-8*I, 0.9987434499181478 + 0.028866056473115596*I, -0.00024932080525005883 + 0.017368993198368307*I}","{0.00030191671355564274 + 0.*I, -0.0002524818121792355 - 0.017368965728642032*I, -0.0002524818121792355 + 0.017368965728642032*I, 0.9996980832846868 + 0.*I}"
"{0.999563647880615 + 0.*I, 0.00036396747794649166 + 0.020877262969444907*I, 0.00036396747794649166 - 0.020877262969444907*I, 0.000436352124650714 + 0.*I}","{0.0003585320800430606 + 0.02087731975976396*I, 0.9981867856353827 - 0.03456076394933078*I, 0.00043635210352607664 + 1.1435419779325839*^-7*I, -0.00035845977522321927 - 0.020877320516821823*I}","{0.0003585320800430606 - 0.02087731975976396*I, 0.00043635210352607664 - 1.1435419779325839*^-7*I, 0.9981867856353827 + 0.03456076394933078*I, -0.00035845977522321927 + 0.020877320516821823*I}","{0.0004363521193541872 + 0.*I, -0.0003639674779434985 - 0.020877262969442832*I, -0.0003639674779434985 + 0.020877262969442832*I, 0.9995636478753536 + 0.*I}"
"{0.9993693841667945 + 0.*I, 0.0005243667591401054 + 0.025091617441147733*I, 0.0005243667591401054 - 0.025091617441147733*I, 0.0006306158490812176 + 0.*I}","{0.0005149161444820933 + 0.025091736164346092*I, 0.997384523686389 - 0.04133952526198062*I, 0.0006306157853400896 + 2.393853882984832*^-7*I, -0.0005147661484254869 - 0.025091738053490048*I}","{0.0005149161444820933 - 0.025091736164346092*I, 0.0006306157853400896 - 2.393853882984832*^-7*I, 0.997384523686389 + 0.04133952526198062*I, -0.0005147661484254869 + 0.025091738053490048*I}","{0.0006306158331748925 + 0.*I, -0.0005243667591370227 - 0.02509161744114573*I, -0.0005243667591370227 + 0.02509161744114573*I, 0.9993693841509232 + 0.*I}"
"{0.9990887013223114 + 0.*I, 0.0007548915655028912 + 0.03015223961017335*I, 0.0007548915655028912 - 0.03015223961017335*I, 0.0009112987253673252 + 0.*I}","{0.0007384594894626033 + 0.0301524878177694*I, 0.996229126491731 - 0.049388763421091504*I, 0.0009112985330785761 + 5.012727298344541*^-7*I, -0.0007381488376239018 - 0.030152492524719268*I}","{0.0007384594894626033 - 0.0301524878177694*I, 0.0009112985330785761 - 5.012727298344541*^-7*I, 0.996229126491731 + 0.049388763421091504*I, -0.0007381488376239018 + 0.030152492524719268*I}","{0.0009112986776581917 + 0.*I, -0.0007548915654998017 - 0.030152239610171477*I, -0.0007548915654998017 + 0.030152239610171477*I, 0.9990887012746374 + 0.*I}"
"{0.9986832277206565 + 0.*I, 0.0010857503382731052 + 0.036225800975451694*I, 0.0010857503382731052 - 0.036225800975451694*I, 0.0013167724221843148 + 0.*I}","{0.0010571803343495574 + 0.036226319896244454*I, 0.9945666540976631 - 0.05891611359288581*I, 0.0013167718422724814 + 1.050001746244874*^-6*I, -0.0010565382967250368 - 0.036226331601475745*I}","{0.0010571803343495574 - 0.036226319896244454*I, 0.0013167718422724814 - 1.050001746244874*^-6*I, 0.9945666540976631 + 0.05891611359288581*I, -0.0010565382967250368 + 0.036226331601475745*I}","{0.0013167722793129976 + 0.*I, -0.0010857503382699994 - 0.036225800975449945*I, -0.0010857503382699994 + 0.036225800975449945*I, 0.9986832275778208 + 0.*I}"
"{0.998097631923597 + 0.*I, 0.0015597934745466577 + 0.04350940860139023*I, 0.0015597934745466577 - 0.04350940860139023*I, 0.0019023685033641201 + 0.*I}","{0.001510124707205097 + 0.04351049345905231*I, 0.9921773332379293 - 0.0701460923528382*I, 0.00190236675511191 + 2.20012724213979*^-6*I, -0.0015088013066642094 - 0.04351052249665312*I}","{0.001510124707205097 - 0.04351049345905231*I, 0.00190236675511191 - 2.20012724213979*^-6*I, 0.9921773332379293 + 0.0701460923528382*I, -0.0015088013066642094 + 0.04351052249665312*I}","{0.0019023680763730383 + 0.*I, -0.001559793474543502 - 0.04350940860138859*I, -0.001559793474543502 + 0.04350940860138859*I, 0.9980976314966411 + 0.*I}"
"{0.9972522101111378 + 0.*I, 0.002237486089762763 + 0.05223439510146776*I, 0.002237486089762763 - 0.05223439510146776*I, 0.0027477911617059406 + 0.*I}","{0.0021511558078953015 + 0.05223666285195931*I, 0.9887485218345057 - 0.08331022927717194*I, 0.0027477858939477166 + 4.6114620901137135*^-6*I, -0.0021484372626857815 - 0.05223673466167439*I}","{0.0021511558078953015 - 0.05223666285195931*I, 0.0027477858939477166 - 4.6114620901137135*^-6*I, 0.9887485218345057 + 0.08331022927717194*I, -0.0021484372626857815 + 0.05223673466167439*I}","{0.002747789888832186 + 0.*I, -0.0022374860897595703 - 0.05223439510146634*I, -0.0022374860897595703 + 0.05223439510146634*I, 0.9972522088382992 + 0.*I}"
"{0.9960323227380034 + 0.*I, 0.003203551112526571 + 0.06266919179370478*I, 0.003203551112526571 - 0.06266919179370478*I, 0.003967681044039623 + 0.*I}","{0.0030535571554355756 + 0.06267393107568223*I, 0.9838375941930994 - 0.0986279968056382*I, 0.003967665182237253 + 9.667968972878349*^-6*I, -0.003047997449083407 - 0.06267410794275519*I}","{0.0030535571554355756 - 0.06267393107568223*I, 0.003967665182237253 - 9.667968972878349*^-6*I, 0.9838375941930994 + 0.0986279968056382*I, -0.003047997449083407 + 0.06267410794275519*I}","{0.003967677261967362 + 0.*I, -0.003203551112523352 - 0.06266919179370352*I, -0.003203551112523352 + 0.06266919179370352*I, 0.9960323189559661 + 0.*I}"
